Curation,Variable ID,Variable name,Variable label,Variable description,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Entity,Attribute,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Method Abbreviation,Formula,Method reference,Scale ID,Scale name,Scale Abbreviation,Scale class,Scale Xref,Cat 1 code,Cat 1 description,Cat 2 code,Cat 2 description,Cat 3 code,Cat 3 description,Cat 4 code,Cat 4 description,Cat 5 code,Cat 5 description,Cat 6 code,Cat 6 description,Cat 7 code,Cat 7 description,Cat 8 code,Cat 8 description,Cat 9 code,Cat 9 description,Cat 10 code,Cat 10 description,,,,
,CO_369:0000025,LfSPAD_CLSPADmsr_idx,Leaflet SPAD msr [idx],The average SPAD reading of the leaflets measured on a compound leaf.,leaf SPAD,breeding selection,E1,Recommended,,"Adana Alparslan Türkeş Science and Technology University - 013z3yn41,The Land Institute - 00jxaym78",Muhammet Sakirgolu - 0000-0002-7024-4348,02-11-2022,EN,Sainfoin,CO_369:0001023,Leaflet,SPAD,Leaflet SPAD,Agronomic,The SPAD value for a leaflet or group of leaflets.,,LfSPAD,,Recommended,,CO_369:0002024,Leaflet SPAD measurement,Measurement,"Description: Measurement of the average SPAD value of leaflets on a compound leaf
 
 Materials: SPAD meter
 
 Dependent_on:
 
 Protocol:
 1. Select a compound leaf according to your sampling protocol.
 2. Take SPAD readings on a total of 5 leaflets on the compound leaf - 2 from either side of the compound leaf and the terminal leaflet.
 3. Record the average SPAD value of all 5 leaflets as the SPAD value for the compound leaf.
 4. See notes in https://pubmed.ncbi.nlm.nih.gov/17342446/",CLSPADmsr,,"Evaluating the relationship between leaf chlorophyll concentration and SPAD-502 chlorophyll meter readings. J Uddling, J Gelang-Alfredsson, K Piikki, H Pleijel. Phoyosynth Res. 2007 Jan; 91(1):37-46. doi: 10.1007/s11120-006-9077-5. https://pubmed.ncbi.nlm.nih.gov/17342446/",CO_369:0003014,index,idx,Numerical,,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000026,LfChl_ChlTotmsr_mg/g,Leaflet total chlorophyll content msr [mg/g],The total chlorophyll A and B content in a leaflet or leaflet sample expressed in mg/g.,,,"V1,E1,B1,B2,F1,F2,P1,P2,P3",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001024,Leaflet,total chlorophyll content,Leaflet total chlorophyll content,Agronomic,The total chlorophyll content in a leaflet,,LfChl,,Recommended,,CO_369:0002021,Leaf total chlorophyll content measurement,Measurement,"Description: Determine the concentration of total chlorophyll in a leaf sample
 
 Materials: See protocol
 
 Dependent_on:
 
 Protocol:
 1. See protocol in http://www.chem.ucla.edu/dept/Faculty/merchant/pdf/porra_et_al_1989.pdf",ChlTotmsr,,"Determination of accurate extinction coefficients and simultaneous equations for assaying chlorophylls a and b extracted with four different solvents: verification of the concentration of chlorophyll standards by atomic absorption spectroscopy. R.J. Porra, W.A. Thompson, P.E. Kriedmann. Biochimica et Biophysica Acta, 975 (1989) 384-394 http://www.chem.ucla.edu/dept/Faculty/merchant/pdf/porra_et_al_1989.pdf",CO_369:0003020,milligram per gram,mg/g,Numerical,UO:0000022/UO:0000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000027,LfW_LfWmsr_mm,Leaflet width msr [mm],The average width of leaflets on a compound leaf measured with a ruler expressed in mm.,,,E1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001025,Leaflet,width,Leaflet width,Morphological,"The width of a leaflet, orthogonal to the main leaflet axis when measured at the widest point.",,LfW,,Recommended,,CO_369:0002025,Leaflet width measurement,Measurement,"Description: Record the average leaflet width
 
 Materials: metric ruler or tape measure
 
 Dependent_on:
 
 Protocol:
 1. Select a compound leaf according to you sampling protocol
 2. Measure the length of 5 leaflets on the compound leaf - 2 from either side of the compound leaf and the terminal leaflet.
 3. Starting at the widest portion of the leaflet, measure from one leaflet margin to the margin on the opposite edge, orthogonal to the central axis.
 4. Record the average width of all 5 leaflets.",LfWmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000028,LfW_LfWprd_mm,Leaflet width prd [mm],The average width of leaflets on a compound leaf measured by basic image processing algorithms expressed in mm.,,,E1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001025,Leaflet,width,Leaflet width,Morphological,"The width of a leaflet, orthogonal to the main leaflet axis when measured at the widest point.",,LfW,,Recommended,,CO_369:0002026,Leaflet width prediction,Prediction,"Description: Measure the average leaflet width
 
 Materials: Image analysis software, OpenCV scripts, etc.
 
 Dependent_on:
 
 Protocol:
 1. Select a compound leaf according to your sampling protocol.
 2. Select 5 leaflets on each compound leaf - 2 from either side of the compound leaf and the terminal leaflet.
 3. Lay all 5 leaflets out on a flatbed scanner or photography light table with either a known scale or a scale included in the scene and acquire an image.
 4. Use image processing to extract the width of the rotated bounding box of each leaflet.
 5. Convert from pixels to mm using the known scale.
 6. Report the average width in mm for all 5 leaflets.",LfWprd,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000029,FrAR_ARmsr_ratio,Legume fruit aspect ratio msr [ratio],The aspect ratio of a legume fruit when measured by using basic image processing algorithms.,,,PH1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001026,Legume fruit,aspect ratio,Legume fruit aspect ratio,Morphological,The ratio of the legume fruit bounding box width to its height.,,FrAR,,Recommended,,CO_369:0002035,Object aspect ratio measurement,Measurement,"Description: Calculate the ratio of the object's bounding box width to it's height
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Create a bounding box around a segmented object using cv.boundingrect(obj).
 2. Extract the bounding box width and height.
 3. Express the aspect ratio as the width/height.
 4. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",ARmsr,AR=\frac{width}{height},,CO_369:0003028,ratio,ratio,Numerical,UO:0010006,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000030,FrCol_Colmsr_HSV,Legume fruit color msr [HSV],The color of a legume fruit when measured by image analysis expressed in the HSV color model.,,,PH1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001027,Legume fruit,color,Legume fruit color,Morphological,"The average color of a legume fruit or group of legume fruits from a plant, expressed as a vector of float values in the color model of choice such as RGB or HSV.",,FrCol,,Recommended,,CO_369:0002036,Object color measurement,Measurement,"Description: Calculate the average color of an object
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. After segmenting the image using basic image processing algorithms, select objects using cv.findContours() etc.
 2. Find the average of all pixels in the contour
 3. Express as a vector of HSV values.",Colmsr,,,CO_369:0003013,HSV,HSV,Code,,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000031,FrCD_CDmsr_μm,Legume fruit convexity defect msr [μm],The convexity defects of the spines on the crest of a legume fruit when measured by using basic image processing algorithms expressed in μm.,,,PH1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001028,Legume fruit,convexity defect,Legume fruit convexity defect,Morphological,The average length of the three largest convexity defects on the dried legume fruit crest,,FrCD,,Recommended,,CO_369:0002037,Object convexity defect measurement,Measurement,"Description: Calculate the average length of a convexity defect in an image
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. See examples at https://theailearner.com/2020/11/09/convexity-defects-opencv/",CDmsr,,,CO_369:0003031,micrometer,μm,Numerical,UO:0000017,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000032,FrEqD_EqDmsr_mm,Legume fruit equivalent diameter msr [mm],The diameter of a circle of an area equivalent to the area of the legume fruit when measured by using basic image processing algorithms expressed in mm.,,,PH1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001029,Legume fruit,equivalent diameter,Legume fruit equivalent diameter,Morphological,The diameter of a circle of equivalent area to the area of the legume fruit,,FrEqD,,Recommended,,CO_369:0002038,Object equivalent diameter measurement,Measurement,"Description: Calculate the equivalent diameter of an image object
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",EqDmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000033,FrEx_Exmsr_ratio,Legume fruit extent msr [ratio],The ratio of the legume fruit contour area to the bounding box area.,,,PH1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001030,Legume fruit,extent,Legume fruit extent,Morphological,The ratio of the legume fruit contour area to the bounding box area.,,FrEx,,Recommended,,CO_369:0002039,Object extent measurement,Measurement,"Description: Calculate the object extent
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Retrieve the total area of an object in an image
 2. Create a bounding box around the image with cv.boundingRect()
 3. Compute the extent as the ratio between the object area and the bounding box area.
 4. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",Exmsr,,,CO_369:0003028,ratio,ratio,Numerical,UO:0010006,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000034,FrL_Lmsr_mm,Legume fruit length msr [mm],The length of a legume fruit along its main axis measured in mm or the length of the major axis of an ellipse fit to a legume fruit contour expressed in mm.,,,PH1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001031,Legume fruit,length,Legume fruit length,Morphological,The length of a legume fruit along its main axis.,,FrL,,Recommended,,CO_369:0002040,Object length measurement,Measurement,"Description: Calculate an objects length
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Fit either an ellipse or a rotated bounding box(cv.minAreaRect()) to an object.
 2. Export the object length as either the length of the major axis (ellipse) or the longer side of the rotated bounding box.
 3. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",Lmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000035,FrM_FrMmsr_g,Legume fruit mass msr [g],"This is a generic variable for recording a total mass of fruits that were sampled, expressed in grams. Usually used computationally in conjunction with other variables and methods.",,,P3,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001032,Legume fruit,mass,Legume fruit mass,Agronomic,The total mass of the sampled fruit,,FrM,,Recommended,,CO_369:0002027,Legume fruit mass measurement,Measurement,"Description: Record the total mass of a sample of legume fruits.
 
 Materials: plot combine; laboratory seed thresher; column seed blower; digital scale;
 
 Dependent_on:
 
 Protocol:
 1. Harvest legume fruits according to your sampling protocol.
 2. Dry the harvested material.
 3. Thresh the fruits off of the stems with a laboratory scale seed thresher (Wintersteiger LD 350).
 4. Clean the fruit by using a column seed blower or running the fruit through the seed thresher a second time.
 5. Record the total weight of the cleaned fruit.",FrMmsr,,,CO_369:0003007,gram,g,Numerical,UO:0000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000036,FrN_FrNRacmp_n/Ra,Legume fruit number cmp [n/Ra],This is the total number of fruit counted on three sampled racemes and express relative to the number of racemes sampled.,,,P2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001033,Legume fruit,number,Legume fruit number,Agronomic,The total number of fruit either as a standalone count or expressed relative to another body,,FrN,,Recommended,,CO_369:0002029,Legume fruit number per raceme computation,Computation,"Description: Record the total number of legume fruits per raceme.
 
 Materials: mechanical or digital hand-held counter;
 
 Dependent_on: Legume fruit number cnt [n]; Raceme number cnt [n];
 
 Protocol:
 1. Sample racemes according to your sampling protocol.
 2. Place the racemes into a pollination bag. 
 3. In the lab, strip the fruit from each raceme. 
 4. Count and record the total number of fruit. 
 5. Divide the total number of fruit by the number of racemes sampled",FrNRacmp,,,CO_369:0003025,number per raceme,n/Ra,Numerical,UO:0000189/PO:0030115,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000037,FrN_FrNcnt_n,Legume fruit number cnt [n],This is a generic variable for recording the number of legume fruit observed or sampled.,,,P2,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001033,Legume fruit,number,Legume fruit number,Agronomic,The total number of fruit either as a standalone count or expressed relative to another body,,FrN,,Recommended,,CO_369:0002028,Legume fruit number counting,Counting,"Description: Record the total number of legume fruit observed.
 
 Materials: mechanical or digital hand held counter;
 
 Dependent_on:
 
 Protocol:
 1. Sample legume fruits according to your sampling protocol.
 2. Count and record the total number of legume fruit in a sample regardless of the presence/absence of a seed inside the fruit.",FrNcnt,,,CO_369:0003023,number,n,Numerical,UO:0000189,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000038,FrP_Pmsr_mm,Legume fruit perimeter msr [mm],The perimeter of the 2-D projected contour of a legume fruit expressed in mm.,,,PH1,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001034,Legume fruit,perimeter,Legume fruit perimeter,Morphological,The perimeter of the 2-D projected contour of a legume fruit.,,FrP,,Recommended,,CO_369:0002041,Object perimeter measurement,Measurement,"Description: Calculate the perimeter of an object in an image
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Find object contour using cv.findContours()
 2. Record perimeter of contours as cv.arcLength(cont)
 3. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",Pmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000039,FrPA_PAmsr_mm2,Legume fruit projected area msr [mm2],The area of a legume fruit as projected onto the 2-D surface of the image plane expressed in mm2.,,,PH1,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001035,Legume fruit,projected area,Legume fruit projected area,Morphological,The area of a legume fruit as projected onto the 2-D surface of the image plane.,,FrPA,,Recommended,,CO_369:0002042,Object projected area measurement,Measurement,"Description: Calculate the projected area of an object 
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Find an object contour using cv.findContours()
 2. Export the contour area as cv.contourArea()
 3. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",PAmsr,,,CO_369:0003022,square millimeter,mm2,Numerical,UO:0000082,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000040,FrSol_Solmsr_ratio,Legume fruit solidity msr [ratio],The ratio of a legume fruit's contour area to it's convex hull area.,,,PH1,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001036,Legume fruit,solidity,Legume fruit solidity,Morphological,The ratio of a legume fruit's contour area to it's convex hull area.,,FrSol,,Recommended,,CO_369:0002043,Object solidity measurement,Measurement,"Description: Calculate an objects solidity
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Find object contour using cv.findContours()
 2. Get object convex hull using cv.convexHull()
 3. Get the object area using cv.contourArea()
 4. Express solidity as the ratio between the object area and the convex hull area.
 5. See https://docs.opencv.org/4.x/d1/d32/tutorial_py_contour_properties.html",Solmsr,,,CO_369:0003028,ratio,ratio,Numerical,UO:0010006,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000041,FrW_Wmsr_mm,Legume fruit width msr [mm],The length of a legume fruit along its minor axis measured in mm or the length of the minor axis of an ellipse fit to a legume fruit contour expressed in mm.,,,PH1,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001037,Legume fruit,width,Legume fruit width,Morphological,The width of a legume fruit along its minor axis orthogonal to the main axis along the image plane,,FrW,,Recommended,,CO_369:0002044,Object width measurement,Measurement,"Description: Calculate the width of an object
 
 Materials: seed image, python-opencv
 
 Dependent_on:
 
 Protocol:
 1. Fit a rotated bounding box or an ellipse to an image object
 2. Record the object width as the minor axis length of the ellipse or the length of the smaller side of a rotated bounding box",Wmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000042,FrYld_FrYldArcmp_g/m2,Legume fruit yield cmp [g/m2],The legume fruit yield expressed on a g/m2 scale.,,,P3,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001038,Legume fruit,yield,Legume fruit yield,Agronomic,The total mass of the sampled fruit divided by an amount of some other entity,,FrYld,,Recommended,,CO_369:0002030,Legume fruit yield per area computation,Computation,"Description: Compute the total yield of sainfoin fruits per unit area
 
 Materials:
 
 Dependent_on: Legume fruit mass msr [g], Plot area msr [m2]
 
 Protocol:
 1. After harvesting a legume fruit sample and recording the mass, record the total plot area that the legume fruits were harvested from.
 2. Divide the fruit mass by the area, and express yield in g/m2",FrYldArcmp,,,CO_369:0003009,gram per square meter,g/m2,Numerical,UO:0010049,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000043,FrYld_FrYldPlcmp_g/Pl,Legume fruit yield cmp [g/Pl],The legume fruit yield expressed on a g/plant scale.,,,P3,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001038,Legume fruit,yield,Legume fruit yield,Agronomic,The total mass of the sampled fruit divided by an amount of some other entity,,FrYld,,Recommended,,CO_369:0002031,Legume fruit yield per plant computation,Computation,"Description: Compute the total yield of legume fruit per plant
 
 Materials: clippers, bundle thresher, sieves/blower columns, laboratory balance
 
 Dependent_on: Legume fruit mass msr [g], Plant number cnt [n]
 
 Protocol:
 1. Divide the total mass of a sample of legume fruit by the number of plants they were sampled from.
 2. Express yield as g/plant",FrYldPlcmp,,,CO_369:0003010,gram per plant,g/Pl,Numerical,UO:0000021/PO:0000003,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000044,FrYld_FrYldRacmp_g/Ra,Legume fruit yield cmp [g/Ra],The legume fruit yield expressed as the mass in grams of the total legume fruit divided by the total number of racemes sampled.,,,P3,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001038,Legume fruit,yield,Legume fruit yield,Agronomic,The total mass of the sampled fruit divided by an amount of some other entity,,FrYld,,Recommended,,CO_369:0002032,Legume fruit yield per raceme computation,Computation,"Description: Compute the total yield of legume fruit per raceme
 
 Materials: laboratory balance
 
 Dependent_on: Legume fruit mass msr [g], Raceme number cnt [n]
 
 Protocol:
 1. Sample racemes according to your sampling protocol.
 2. Strip the fruit of the raceme into a pan.
 3. Weigh the fruit. 
 4. Divide the fruit mass by the number of racemes to express fruit yield in g/raceme.",FrYldRacmp,,,CO_369:0003011,gram per raceme,g/Ra,Numerical,UO:0000021/PO:0030115,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000045,FrYld_FrYldArcmp_kg/ha,Legume fruit yield cmp [kg/ha],The legume fruit yield expressed in kg/hectare.,,,P3,Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001038,Legume fruit,yield,Legume fruit yield,Agronomic,The total mass of the sampled fruit divided by an amount of some other entity,,FrYld,,Recommended,,CO_369:0002030,Legume fruit yield per area computation,Computation,"Description: Compute the total yield of sainfoin fruits per unit area
 
 Materials:
 
 Dependent_on: Legume fruit mass msr [g], Plot area msr [m2]
 
 Protocol:
 1. After harvesting a legume fruit sample and recording the mass, record the total plot area that the legume fruits were harvested from.
 2. Divide the fruit mass by the area, and express yield in g/m2",FrYldArcmp,,,CO_369:0003016,kilogram per hectare,kg/ha,Numerical,UO:0000283,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000046,PcpM_PcpMmsr_mg,Pericarp mass msr [mg],The average mass of pericarps expressed in mg.,,,"P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001039,Pericarp,mass,Pericarp mass,Agronomic,The total mass of the legume fruit pericarp.,,PcpM,,Recommended,,CO_369:0002047,Pericarp mass measurement,Measurement,"Description: Measure the mass of fruit pericarps
 
 Materials: laboratory balance;
 
 Dependent_on:
 
 Protocol:
 1. For one plant or one stem, remove all of the fruit.
 2. For each fruit, remove the pericarp from the fruit.
 3. Place the pericarps together and weigh.",PcpMmsr,,,CO_369:0003019,milligram,mg,Numerical,UO:0000022,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000047,PlDDTF_DTFcmp_days,Plant defoliation DTF cmp [days],The time in days it takes for a plant or a group of plants to begin flowering post defoliation.,,breeding selection,"B2,F1,F2",Recommended,"Evolution of yield and quality of sainfoin (Onobrychis viciifolia Scop.) in the spring growth cycle. Giorgio Borreani, Pier Peiretti, Ernesto Tabacco. Agronomie 23 (2003) 193–201. DOI:10.1051/agro:2002082","Adana Alparslan Türkeş Science and Technology University - 013z3yn41,The Land Institute - 00jxaym78","Muhammet Sakirgolu - 0000-0002-7024-4348,Brandon Schlautman - 0000-0002-9983-259X",02-11-2022,EN,Sainfoin,CO_369:0001040,Plant,defoliation DTF,Plant defoliation DTF,Phenological,The time it takes in days for a plant or group of plants to flower starting from a defoliation event.,,PlDDTF,DTF,Recommended,,CO_369:0002006,Defoliation DTF computation,Computation,"Description: Record the days to flowering (DTF) post defoliation
 
 Materials:
 
 Dependent_on: Plant defoliation event date msr [ISO 8601], Plant flowering date est [ISO 8601]
 
 Protocol:
 1. Record the number of days that have elapsed from the defoliation event date to the flowering date.
 2. Express DTF as an integer.",DTFcmp,,,CO_369:0003005,day,days,Duration,UO:0000033,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000048,PlDFDate_DFmsr_date,Plant defoliation event date msr [date],The date at which a plant or plot was defoliated either by swathing or seed harvesting.,,,"E1,B1,P3,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001041,Plant,defoliation event date,Plant defoliation event date,Agronomic,The date at which a plant or plot of established plants was defoliated either by swathing or seed harvesting,,PlDFDate,,Recommended,,CO_369:0002005,Defoliation date measurement,Measurement,"Description: Record the date at which a plant or plot was defoliated
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. Record the ISO 8601 date at which a plant or plot was defoliated",DFmsr,,,CO_369:0003004,date,date,Date,,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000049,PlEDTF_DTFcmp_days,Plant emergence DTF cmp [days],The time in days it takes for a plant or group of plants to begin flowering from the date of seedling emergence.,,,"F1,F2",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001042,Plant,emergence DTF,Plant emergence DTF,Phenological,The time it takes in days for a plant or group of plants to flower starting from the seedling emergence date,,PlEDTF,DTF,Recommended,,CO_369:0002076,Seedling emergence DTF computation,Computation,"Description: Record the days to flowering (DTF) post seedling emergence
 
 Materials:
 
 Dependent_on: Seedling emergence date est [ISO 8601], Plant flowering date est [ISO 8601]
 
 Protocol:
 1. Record the number of days that have elapsed from the seedling emergence date to the flowering date.
 2. Express DTF as an integer.",DTFcmp,,,CO_369:0003005,day,days,Duration,UO:0000033,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000050,PlFlg_FlgPctcmp_%,Plant flowering cmp [%],The percentage of plants in a plot or group of plants that are flowering.,,,"F1,F2",Recommended,,"Adana Alparslan Türkeş Science and Technology University - 013z3yn41,The Land Institute - 00jxaym78","Muhammet Sakirgolu - 0000-0002-7024-4348,Brandon Schlautman - 0000-0002-9983-259X",02-11-2022,EN,Sainfoin,CO_369:0001043,Plant,flowering,Plant flowering,Agronomic,The percentage of plants in a plot or group of plants that are flowering.,,PlFlg,,Recommended,,CO_369:0002012,Flowering percentage computation,Computation,"Description: Compute the percentage of plants in a plot that are flowering
 
 Materials:
 
 Dependent_on: Plant number cnt [n]
 
 Protocol:
 1. Count the number of plants in a plot that have at least one flower.
 2. Divide by the total number of plants in the plot.
 3. Express as a percentage.",FlgPctcmp,,,CO_369:0003001,percent,%,Numerical,UO:0000187,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000051,PlFlgDate_FlgDateest_date,Plant flowering date est [date],The date that 50% of plants or 50% of the stems on a single plant have at least one flower.,,,"F1,F2",Recommended,,"Adana Alparslan Türkeş Science and Technology University - 013z3yn41,The Land Institute - 00jxaym78","Muhammet Sakirgolu - 0000-0002-7024-4348,Brandon Schlautman - 0000-0002-9983-259X",02-11-2022,EN,Sainfoin,CO_369:0001044,Plant,flowering date,Plant flowering date,Phenological,The flowering date of a plant or a group of plants.,,PlFlgDate,,Recommended,,CO_369:0002011,Flowering date estimation,Estimation,"Description: Record the date at which 50% of all plants have at least one flower.
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. For each plant, plot, or group of plants, record the date at which 50% of all plants have at least one flower.",FlgDateest,,,CO_369:0003004,date,date,Date,,,,,,,,,,,,,,,,,,,,,,,,,
